"Datetime","Filter_code","Codice.Stazione","Altitudine","Esposizione","LatUTM","LongUTM","Data","Ora","HS","Density_Avg","SWE_tot"
"2013-01-23 08:30:00","2013-01-23 08:30:00_13PR","13PR","1675","SW","698219","5135084","2013-01-23","08:30",73,255.751549047945,186.698630805
"2013-01-23 08:30:00","2013-01-23 08:30:00_15TR","15TR","1550","W ","630778","5077835","2013-01-23","08:30",70,259.428571428571,181.6
"2013-01-23 08:30:00","2013-01-23 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2013-01-23","08:30",103,227.009708737864,233.82
"2013-01-23 08:30:00","2013-01-23 08:30:00_22CI","22CI","2145","NE","712858","5147444","2013-01-23","08:30",122,217.48468374918,265.331314174
"2013-01-23 08:50:00","2013-01-23 08:50:00_35VC","35VC","1880","SE","712817","5126802","2013-01-23","08:50",98,216.083626758163,211.761954223
"2013-01-23 09:00:00","2013-01-23 09:00:00_14PO","14PO","1385","NW","706857","5144945","2013-01-23","09:00",46,186.910755147826,85.978947368
"2013-01-23 09:00:00","2013-01-23 09:00:00_19PF","19PF","1170","SE","669131","5069560","2013-01-23","09:00",73,227.540636326027,166.104664518
"2013-01-23 09:00:00","2013-01-23 09:00:00_24NO","24NO","1020","S ","719299","5113380","2013-01-23","09:00",59,229.789590159322,135.575858194
"2013-01-23 09:10:00","2013-01-23 09:10:00_30PN","30PN","2735","NE","621741","5120602","2013-01-23","09:10",236,286.016870508475,674.9998144
"2013-01-23 11:00:00","2013-01-23 11:00:00_18SB","18SB","1600","SW","715519","5120132","2013-01-23","11:00",67,218.868656716418,146.642
"2013-01-23 11:00:00","2013-01-23 11:00:00_3PIN","3PIN","1885","W ","639889","5114784","2013-01-23","11:00",107,235.91673331215,252.430904644
"2013-01-23 15:00:00","2013-01-23 15:00:00_0","0","NULL","\ ","NULL","NULL","2013-01-23","15:00",79,250.765670248101,198.104879496
"2013-01-24 00:00:00","2013-01-24 00:00:00_0","0","NULL","\ ","NULL","NULL","2013-01-24","00:00",129,493.023255813953,636
"2013-01-24 08:00:00","2013-01-24 08:00:00_42LU","42LU","2050","NE","706376","5136019","2013-01-24","08:00",120,212.143939391667,254.57272727
"2013-01-24 08:30:00","2013-01-24 08:30:00_16PT","16PT","1608","S ","705786","5110460","2013-01-24","08:30",73,184.931506849315,135
"2013-01-27 09:50:00","2013-01-27 09:50:00_0","0","NULL","\ ","NULL","NULL","2013-01-27","09:50",100,258.45967742,258.45967742
"2013-01-29 10:00:00","2013-01-29 10:00:00_20BA","20BA","1320","SW","689890","5113367","2013-01-29","10:00",67,245.811849838806,164.693939392
"2013-01-30 07:40:00","2013-01-30 07:40:00_14PO","14PO","1385","NW","706857","5144945","2013-01-30","07:40",39,259.460188933333,101.189473684
"2013-01-30 07:50:00","2013-01-30 07:50:00_12FO","12FO","1360","NW","671070","5087375","2013-01-30","07:50",63,261.111111111111,164.5
